Date,Time,Temperature,Humidity,WindSpeed,SolarGeneration,PreviousDemand,PowerDemand
2026-01-01,09:00,28,60,10,45,180,188
2026-01-01,10:00,29,58,11,50,188,196
2026-01-01,11:00,31,55,12,55,196,205
2026-01-01,12:00,33,52,13,60,205,218
2026-01-01,13:00,34,50,14,62,218,225
2026-01-01,14:00,35,48,15,58,225,230
2026-01-01,15:00,34,50,14,55,230,228
2026-01-01,16:00,33,54,12,50,228,220
2026-01-01,17:00,31,58,10,42,220,215
2026-01-01,18:00,29,63,8,30,215,225
2026-01-01,19:00,28,68,7,20,225,240
2026-01-01,20:00,27,70,6,10,240,250
2026-01-02,09:00,27,62,9,46,182,190
2026-01-02,10:00,29,59,10,51,190,198
2026-01-02,11:00,30,56,12,56,198,207
2026-01-02,12:00,32,53,13,61,207,216
2026-01-02,13:00,34,50,14,63,216,224
2026-01-02,14:00,35,49,15,60,224,231
2026-01-02,15:00,34,51,14,56,231,229
2026-01-02,16:00,32,55,12,51,229,221
2026-01-02,17:00,30,59,10,43,221,216
2026-01-02,18:00,29,64,8,31,216,226
2026-01-02,19:00,28,69,7,21,226,241
2026-01-02,20:00,27,71,6,11,241,251
2026-01-03,09:00,28,61,9,47,181,189
2026-01-03,10:00,30,58,11,52,189,197
2026-01-03,11:00,31,55,12,57,197,206
2026-01-03,12:00,33,52,13,62,206,217
2026-01-03,13:00,35,49,14,64,217,226
2026-01-03,14:00,36,47,15,61,226,232
2026-01-03,15:00,35,50,14,57,232,230
2026-01-03,16:00,33,54,12,52,230,222
2026-01-03,17:00,31,58,10,44,222,217
2026-01-03,18:00,29,63,8,32,217,227
2026-01-03,19:00,28,68,7,22,227,242
2026-01-03,20:00,27,70,6,12,242,252
